#cargos
#id_cargo;nombre_cargo;metaCargo
#string;string;string
R01;JEFE TURNO RAMPA;
R03;MONITOR VUELO;CR03
R04;MONITOR TOWING;
R05;INSTRUCTOR;
R06;OPERARIO AIRE ACONDICIONADO;
R10;OPERARIO RAMPA;CR10
R11;COORDINADOR SERVICIOS A TERCEROS;
R20;TRACTORISTA RAMPA;RR01
R21;OPERADOR BOMBA COMBUSTIBLE;
R41;OPERARIO RAMPA PT;
R23;CARGOLOADERISTA;
R02;JEFE TURNO OPCO;
R07;CONVEYOR;
R24;CONDUCTOR CAMION SERVICIO;
R40;TRACTORISTA CARGA;RR01
R12;CONDUCTOR CARRUSEL;
R14;TRACTORISTA ULD;RR01
R22;MONITOR OPCO;
C03;MONITOR VUELO CARGA;CR03
C10;OPERARIO CARGA;CR10
E01;SUPERVISOR EQUIPAJE;
E02;COORDINADOR EQUIPAJE;
E13;OPERARIO EQUIPAJE;
E04;MONITOR COUNTER;
E06;MONITOR CINTA;
E07;MONITOR TRANSFERENCIA;
E10;OPERARIO COUNTER;
E12;OPERARIO EQUIPAJE PT;
E20;TRACTORISTA EQUIPAJE;
E05;COORDINADOR COUNTER;
O11;SUPERVISOR SERVICIO A TERCEROS;
O16;ADMINISTRACION;
T01;JEFE DE TALLER;
T02;JEFE BODEGA;
T03;ENCARGADO COMPRAS;
T04;ADMINISTRATIVO TALLER;
T05;SUPERVISOR TALLER;
T06;BODEGUERO;
T07;OPERADOR BOMBA COMBUSTIBLE;
T10;EXTRUCTURISTA TALLER;
T13;PINTOR;
T11;EXTRUCTURISTA DOLLIES;
T12;VULCANIZADOR;
T24;ELECTRICO;
T20;MECANICO CAJA CAMBIOS;
T21;MECANICO MOTORES;
T22;MECANICO HIDRAULICO;
T23;MECANICO GENERAL;
T30;AYUDANTE MECANICO;
RR01;MONITOR  VUELO;
CR03;OPERARIO RAMPA;
CR10;TRACTORISTA RAMPA;
