#Turnos
#idTurno;nombreTurno;TipoTurno;horaIngreso;horaSalida
#int;String;String;String;String
1;A;Apertura;4:00;12:00
2;T;Tarde;12:00;20:00
3;N;Noche;20:00;4:00
4;4;Apertura;11:30;00:00
5;4b;Apertura;13:00;00:00
6;4½;Apertura;12:00;00:00
7;4½b;Apertura;13:30;00:00
8;5;Apertura;12:30;00:00
9;5b;Apertura;14:00;00:00
10;6;Apertura;13:30;00:00
11;6b;Apertura;15:00;00:00
12;7;Apertura;14:30;00:00
13;7b;Apertura;16:00;00:00
14;8;Apertura;15:30;00:00
15;8a;Apertura;17:00;00:00
16;8b;Apertura;17:00;00:00
17;9;Apertura;16:30;00:00
18;9b;Apertura;18:00;00:00
19;10;Apertura;17:30;00:00
20;10b;Apertura;19:00;00:00
21;11;Tarde;18:30;00:00
22;11b;Tarde;20:00;00:00
23;12;Tarde;19:30;00:00
24;12b;Tarde;21:00;21:00
25;12½;Tarde;20:00;00:00
26;13;Tarde;20:30;00:00
27;13b;Tarde;22:00;00:00
28;13½;Tarde;21:00;00:00
29;13½b;Tarde;22:30;00:00
30;14;Tarde;21:30;00:00
31;14b;Tarde;23:00;00:00
32;14½;Tarde;22:00;22:00
33;15;Tarde;22:30;22:30
34;15b;Tarde;00:00;00:00
35;15½;Tarde;23:00;23:00
36;16;Tarde;23:30;00:00
37;16b;Tarde;1:00;00:00
38;16½;Tarde;00:00;00:00
39;17;Tarde;0:30;00:00
40;17b;Tarde;2:00;2:00
41;18;Tarde;1:30;00:00
42;18b;Tarde;3:00;00:00
43;19;Noche;2:30;00:00
44;19b;Noche;4:00;00:00
45;19½;Noche;3:00;00:00
46;19½b;Noche;4:30;4:30
47;20;Noche;3:30;00:00
48;20b;Noche;5:00;00:00
49;20½;Noche;4:00;00:00
50;21;Noche;4:30;00:00
51;21b;Noche;6:00;6:00
52;21½b;Noche;6:30;00:00
53;22;Noche;5:30;5:30
54;22b;Noche;7:00;00:00
55;22½;Noche;6:00;00:00
56;23;Noche;6:30;00:00
57;23b;Noche;8:00;8:00
58;24;NoOp;7:30;00:00
59;24b;NoOp;9:00;00:00
60;L;NoOp;00:00;00:00
61;S;NoOp;00:00;00:00
62;TL;NoOp;Trabajo liviano;00:00
63;P;NoOp;Permiso Pagado;00:00
64;D;NoOp;Desvinculado;00:00
65;R;NoOp;Renuncia;00:00
66;##PART TIME;NoOp;00:00;00:00
67;3t;Apertura;7:00;00:00
68;4t;Apertura;8:00;00:00
69;5t;S/Rol;9:00;00:00
70;6t;Apertura;9:00;00:00
71;7t;Apertura;10:00;00:00
72;10t;Apertura;11:00;00:00
73;11t;Apertura;14:00;00:00
74;12t;Tarde;15:00;00:00
75;13t;Tarde;16:00;00:00
76;14t;Tarde;17:00;00:00
77;15t;Tarde;18:00;00:00
78;17t;Tarde;19:00;00:00
79;18½t;Tarde;21:00;00:00
80;20t;Tarde;22:30;00:00
81;21t;Noche;00:00;00:00
82;22t;Noche;01:00;00:00
83;##TRABAJOS LIVIANOS;NoOp;02:00;00:00
84;4tl;NoOp;00:00;00:00
85;4btl;Apertura;11:30;00:00
86;4½tl;Apertura;13:00;00:00
87;4½btl;Apertura;12:00;00:00
88;5tl;Apertura;13:30;00:00
89;5btl;Apertura;12:30;00:00
90;6tl;Apertura;14:00;00:00
91;6btl;Apertura;13:30;00:00
92;7tl;Apertura;15:00;00:00
93;7btl;Apertura;14:30;00:00
94;8tl;Apertura;16:00;00:00
95;8atl;Apertura;15:30;00:00
96;8btl;Apertura;17:00;00:00
97;9tl;Apertura;17:00;00:00
98;9btl;Apertura;16:30;00:00
99;10tl;Apertura;18:00;00:00
100;10btl;Apertura;17:30;00:00
101;11tl;Apertura;19:00;00:00
102;11btl;Tarde;18:30;00:00
103;12tl;Tarde;20:00;00:00
104;12btl;Tarde;19:30;00:00
105;12½tl;Tarde;21:00;00:00
106;13tl;Tarde;20:00;00:00
107;13btl;Tarde;20:30;00:00
108;13½tl;Tarde;22:00;00:00
109;13½btl;Tarde;21:00;00:00
110;14tl;Tarde;22:30;00:00
111;14btl;Tarde;21:30;00:00
112;14½tl;Tarde;23:00;00:00
113;15tl;Tarde;22:00;00:00
114;15btl;Tarde;22:30;00:00
115;15½tl;Tarde;00:00;00:00
116;16tl;Tarde;23:00;00:00
117;16btl;Tarde;23:30;00:00
118;16½tl;Tarde;01:00;00:00
119;17tl;Tarde;00:00;00:00
120;17btl;Tarde;0:30;00:00
121;18tl;Tarde;02:00;00:00
122;18btl;Tarde;1:30;00:00
123;19tl;Tarde;03:00;00:00
124;19btl;Noche;2:30;00:00
125;19½tl;Noche;04:00;00:00
126;19½btl;Noche;03:00;00:00
127;20tl;Noche;4:30;00:00
128;20btl;Noche;3:30;00:00
129;20½tl;Noche;05:00;00:00
130;21tl;Noche;04:00;00:00
131;21btl;Noche;4:30;00:00
132;21½btl;Noche;06:00;00:00
133;22tl;Noche;6:30;00:00
134;22btl;Noche;5:30;00:00
135;22½tl;Noche;07:00;00:00
136;23tl;Noche;06:00;00:00
137;23btl;Noche;6:30;00:00
138;24tl;Noche;08:00;00:00
139;24btl;NoOp;7:30;00:00
140;3btl;NoOp;09:00;00:00
141;6btl;Apertura;12:00;00:00
142;3ttl;Apertura;15:00;00:00
143;4ttl;Apertura;07:00;00:00
144;5ttl;Apertura;08:00;00:00
145;6ttl;Apertura;09:00;00:00
146;7ttl;Apertura;10:00;00:00
147;10ttl;Apertura;11:00;00:00
148;11ttl;Apertura;14:00;00:00
149;12ttl;Tarde;15:00;00:00
150;13ttl;Tarde;16:00;00:00
151;14ttl;Tarde;17:00;00:00
152;15ttl;Tarde;18:00;00:00
